Date,Category,Description
2026,code,karinschneider.com
2026,writing,A to Z Lexicon; ongoing
2026,code,cromastacks.com
2026,shows,SOLO: Gifts of Friendship; Museum of Art in Łódź; Poland
2025,+,LECTURE: Ways of Seeing Critic; School of the Art Institute of Chicago
2025,writing,Ways of Seeing Critic; School of the Art Institute of Chicago
2025,publications,Power Line; Co-Editor com Lisa Sigal; MFA 2025 Thesis exhibition and publication; Yale School of Art
2025,time-based media,Cactis; sound; 3 minutes
2025,code,titaniumwhite.html
2025,publications,PRESS: A performance artística da cineasta Karin Schneider; ESHOJE; Giuliano Miranda; 01.09.2025
2025,shows,GROUP: Ways of Seeing; Muzeum Sztuki; Łódź; Poland; curated by Małgorzata Ludwisiak
2025,shows,GROUP: MAR 01; Casarão; Espírito Santo; Brasil; curated by Mara G. Pereira
2024-Now,code,ChromaStack; Monochromatic Repository / Open System
2024,shows,GROUP: Repara aí; mana!; Casa das Onze Janelas; Belém; Brasil; curated by Vânia Leal
2023,publications,Roberto Jacoby, Art from the End of the World; Co-Editor com Roberto Jacoby; CCS Bard and ISLAA
2023,writing,Roberto Jacoby: Art from the End of the World; Co-Editor; CCS Bard; ISLAA
2023,shows,SCREENING: The Night of Torch; Conférence Cinema and Archaeology; Louvre Museum; Paris
2023,shows,SCREENING: Speaking Boxes; SIMIAN; Copenhagen
2023,shows,SCREENING: Program 23; Le Saint-Gervais; Paris
2020-2026,code,Wrappings.com
2022,code,red.red.com
2022,shows,GROUP: Footnote 15; A Prototype; Galerias Municipais; Lisbon; Portugal; curated by Barbara Piwowarska
2022,time-based media,Sembrando el Petroleo; video; Rolando Peña; commissioned by ISLAA
2022,time-based media,Ñande Róga; video animation; B&W; sound; 15 min; collaboration with Eduardo Andres Alfonso et al.
2021,publications,PRESS: Requiem for a Dream; Alex Kitnick; Art Forum; Print summer 2021
2021,time-based media,Milchhof; Collaboration with Verena Kathrein; 4K video; color; silent; 30 minutes
2021,time-based media,Dirty Mirror; digital video; color; 9:12 minutes
2020,publications,Neither Nor; In Perspective Mini Goethe Institute Curatorial Project
2020,publications,Notes from the Field; Sentient>Art.Film
2020,publications,Double Unbinding; Nicolas Guagnini: Theater of the Self; Mishkin Gallery
2020,shows,SCREENING: Short Film Corner; Cannes Film Festival; France
2019-2023,founding,ortvi (C-Corp); Co-founder of art streaming platform
2019,publications,Tools Beside Brushes; Alejandra Seeber’s artist book; edited by A. Cesarco; HatZe Cantz; Germany
2019,publications,PRESS: Karin Schneider “The Milchhof Diagram”; Mousse Magazine; 25.01.2019
2019,shows,GROUP: Absolute Threshold; Galerie Franchesca Pia; Zurich
2019,shows,GROUP: A Fatal Attraction; Galerie Barbara Weiss; Berlin
2018,publications,Joan Jonas by Karin Schneider; edited by J. Lorz and A. Lissoni; Tate Modern / Hirmer
2018,publications,PRESS: A New job to unwork at; Julia Bryan-Wilson; 4Columns; September
2018,shows,SOLO: Milchhof Diagram; Kunstverein Nürnberg; Germany; curated by Milan Ther
2018,shows,SOLO: Bispando; Museu Bispo do Rosário; Rio de Janeiro; Brasil
2018,shows,SOLO: (H)oldings; Armory Focus; New York
2018,shows,GROUP: A New Job to unwork at; Participant Inc.; NYC
2017,publications,Chart; Finesse; Wallach Gallery; Columbia University
2017,publications,In relation to a Spectator; Kestner Gesellschaft; Hanover
2017,publications,Symmetries; edited by Sylvia Gorelick; Dominque Lévy Gallery; New York
